Country name,NOC,Gold,Silver,Bronze,Total
Netherlands,NED,5,2,3,10
Sweden,SWE,4,1,1,6
Norway,NOR,3,5,2,10
Germany,GER,3,4,2,9
United States,USA,3,2,3,8
Italy,ITA,3,0,2,5
Canada,CAN,2,4,4,10
Japan,JPN,2,2,2,6
Switzerland,SUI,2,2,2,6
Czech Republic,CZE,2,1,3,6
France,FRA,1,2,1,4
Republic of Korea,KOR,1,2,0,3
Slovakia,SVK,1,2,0,3
Russian Olympic Committee,ROC,1,1,2,4
Austria,AUT,1,1,1,3
Belarus,BLR,1,1,0,2
Great Britain,GBR,1,0,2,3
People's Republic of China,CHN,0,3,1,4
Finland,FIN,0,1,3,4
Kazakhstan,KAZ,0,0,1,1
Liechtenstein,LIE,0,0,1,1
New Zealand,NZL,0,0,1,1


