Country,Total medals
United States,41
China,35
Great Britain,34
Japan,25
ROC,35
Italy,24
France,15
Australia,20
Cuba,13
Netherlands,13
Hungary,15
Brazil,12
Norway,7
Germany,19
Czech Republic,9
Islamic Rep. of Iran,7
Republic of Korea,11
Uzbekistan,5
Georgia,8
Croatia,7
Denmark,6
Kenya,5
Sweden,4
Canada,6
Greece,4
Poland,5
Slovenia,3
Qatar,3
Spain,10
New Zealand,9
Ukraine,7
Chinese Taipei,5
Turkey,8
Serbia,5
Belgium,4
India,4
Uganda,3
Belarus,3
Ethiopia,2
Tunisia,2
Portugal,3
Jamaica,2
Ireland,2
Latvia,2
Ecuador,1
Israel,1
Bahamas,1
"Hong Kong, China",1
Fiji,1
Morocco,1
Venezuela,3
Azerbaijan,4
Armenia,4
Slovakia,3
Colombia,3
Romania,2
Switzerland,3
Egypt,3
Indonesia,3
Philippines,2
Dominican Rep.,2
Mongolia,2
Jordan,2
Malaysia,2
Kyrgyzstan,1
Saudi Arabia,1
North Macedonia,1
Kazakhstan,6
Austria,3
Argentina,2
San Marino,1
Mexico,1
Finland,1
Botswana,1
Burkina Faso,1
Ghana,1
Grenada,1
Kuwait,1
Rep. of Moldova,1
Syrian Arab Rep.,1
